city_id,CityName,SafetyRating,AdministrationRating,DeathsToCasesRation,Latitude,Longitude
577,Homestead,3,0.0019684,0.531480865,25.4687224,-80.4775569
578,Maple Grove,3,0.0019685,0.927224772,45.0724642,-93.4557877
579,Pine Hills,3,0.0019762,0.561056592,28.5577794,-81.4534046
580,Glen Burnie,3,0.0019763,0.578047359,39.1626084,-76.6246886
581,Santa Monica,3,0.0019791,0.675314013,34.0194543,-118.4911912
582,Dubuque,3,0.0019794,0.484812749,42.50226610000001,-90.66546749999999
583,Newport Beach,3,0.0019825,0.551322673,33.6188829,-117.9298493
584,Flagstaff,3,0.0019846,0.521751133,35.1982836,-111.651302
585,Hattiesburg,3,0.0019893,0.594827274,31.3271189,-89.29033919999999
586,Jackson,3,0.0019913,0.638855646,37.0370221,-95.6164276
587,North Richland Hills,3,0.0019917,0.582869108,32.8342952,-97.2289029
588,St. Augustine,3,0.0019945,0.544390137,29.9012437,-81.31243409999999
589,Battle Creek,3,0.0019948,0.565895909,42.3211522,-85.17971419999999
590,Sandy,3,0.0020007,0.516731986,40.5649781,-111.8389726
591,St. Joseph,3,0.0020053,0.628075593,39.7674578,-94.84668099999999
592,Cheyenne,3,0.0020175,0.607332288,41.1399814,-104.8202462
593,Watsonville,3,0.0020178,0.497390327,36.910231,-121.7568946
594,Cicero,3,0.0020256,0.58523377,41.8455877,-87.7539448
595,Fort Myers,3,0.0020256,0.702508178,26.640628,-81.8723084
596,Middletown,3,0.0020286,0.452830878,40.3927801,-74.09981789999999
597,Rochester Hills,3,0.00203,0.530437983,42.65836609999999,-83.1499322
598,Anderson,3,0.0020319,0.440929281,40.1053196,-85.6802541
599,Gary,3,0.0020331,0.507547037,41.6020403,-87.3371523
600,Arlington Heights,3,0.0020367,0.773797818,42.0883603,-87.98062650000001
601,Missoula,3,0.0020371,0.545944126,46.8721284,-113.9940314
602,Longview,3,0.0020494,0.506988885,32.5007037,-94.74048909999999
603,Beaverton,3,0.0020499,0.588654834,45.4888761,-122.8013771
604,Germantown,3,0.0020541,0.60509323,35.0867577,-89.8100858
605,Orem,3,0.0020542,0.665283418,40.2968979,-111.6946475
606,Lee's Summit,3,0.0020543,0.611786582,38.9108408,-94.3821724
607,Atascocita,3,0.0020543,0.734087415,29.99883059999999,-95.1765978
608,Florence,3,0.0020544,0.764089819,43.7695604,11.2558136
609,Hammond,3,0.002057,0.586210206,41.5833688,-87.5000412
610,Walnut Creek,3,0.0020609,0.508832839,37.9100783,-122.0651819
611,Hesperia,3,0.0020613,0.640399648,34.4263886,-117.3008784
612,Georgetown,3,0.0020628,0.85666682,38.9076089,-77.07225849999999
613,Mount Pleasant,3,0.0020672,0.585133716,32.8323225,-79.82842579999999
614,Goodyear,3,0.0020733,0.428590159,36.0613544,-95.8844846
615,Mountain View,3,0.0020814,0.821105875,35.3266274,-106.5871328
616,Harrisonburg,3,0.0020852,0.45996588,38.4495688,-78.8689155
617,New Rochelle,3,0.0020858,0.492993881,40.9114882,-73.7823549
618,Poinciana,3,0.0020871,0.494991969,28.1573736,-81.47093579999999
619,Bristol,3,0.0020933,0.647521834,36.5951059,-82.18874439999999
620,Pittsburg,3,0.0020938,0.99190261,38.0279762,-121.8846806
621,Warwick,3,0.0020971,0.535424413,41.7001009,-71.4161671
622,Baytown,3,0.0021018,0.49548268,29.7355047,-94.97742740000001
623,Anniston,3,0.0021032,0.703069184,33.6598257,-85.8316318
624,Rocklin,3,0.0021041,0.489900578,38.7907339,-121.2357828
625,Hoover,3,0.0021057,0.482378191,36.3603104,-94.22074270000002
626,Sumter,3,0.0021059,0.501244269,33.9204354,-80.3414693
627,Upland,3,0.0021084,0.547427834,34.09751,-117.6483876
628,Loveland,3,0.0021104,0.585149885,40.3977612,-105.0749801
629,Miami Beach,3,0.0021204,0.442678316,25.790654,-80.1300455
630,San Ramon,3,0.0021253,0.522591181,37.7643595,-121.9539616
631,Davis,3,0.0021267,0.60957754,38.5449065,-121.7405167
632,Mandeville,3,0.0021362,0.590064317,30.35825059999999,-90.06563109999999
633,Dover,3,0.002137,0.522333534,39.158168,-75.5243682
634,Corvallis,3,0.0021371,0.407840679,44.5645659,-123.2620435
635,Hilton Head Island,3,0.0021551,0.717660386,32.216316,-80.752608
636,Lakewood,3,0.0021561,0.586078309,33.8536269,-118.1339563
637,Hammond,3,0.0021566,0.791955938,41.5833688,-87.5000412
638,Oshkosh,3,0.0021584,0.610546068,36.060014,-95.88098
639,Lynn,3,0.0021593,0.384344663,42.46676300000001,-70.9494938
640,St. Charles,3,0.0021594,0.470048377,38.7881062,-90.4974359
641,Boynton Beach,3,0.0021618,0.889685464,26.5317866,-80.0905465
642,The Villages,3,0.0021652,0.715855382,28.927019,-82.0037608
643,New Braunfels,3,0.0021693,0.60655141,29.7030024,-98.1244531
644,Woodbury,3,0.0021696,0.81153865,41.3645382,-74.1059775
645,Waukesha,3,0.0021721,0.735079336,43.0116784,-88.2314813
646,Pocatello,3,0.0021742,0.508011574,42.8621042,-112.4506191
647,Camden,3,0.0021752,0.414542139,39.9259463,-75.1196199
648,Bowling Green,3,0.0021811,0.693721485,41.3797788,-83.6300826
649,Auburn,3,0.0021894,0.447451555,32.6098566,-85.48078249999999
650,Carson,3,0.00219,0.652557123,33.8316745,-118.281693
651,Morgantown,3,0.0021915,0.645256468,39.629526,-79.95589679999999
652,Alexandria,3,0.0021949,0.732453286,38.8048355,-77.0469214
653,Valdosta,3,0.002203,0.61805826,30.8327022,-83.2784851
654,Westminster,3,0.0022226,0.598287095,40.4581533,-86.917411
655,Terre Haute,3,0.002227,0.540415131,39.4667034,-87.41390919999999
656,Zephyrhills,3,0.0022289,0.525342797,28.2336196,-82.18119469999999
657,Chino Hills,3,0.0022325,0.555589607,33.9898188,-117.7325848
658,South Jordan,3,0.0022328,0.488472872,40.5621704,-111.929658
659,Kirkland,3,0.0022353,0.557512383,43.64666829999999,-79.3791802
660,Schaumburg,3,0.0022408,0.758049876,42.0333607,-88.0834059
661,Cranston,3,0.002245,0.537349131,41.7798226,-71.4372796
662,Rockville,3,0.0022496,0.810715485,39.0839973,-77.1527578
663,Alton,3,0.0022545,0.455886916,38.8906038,-90.1842764
664,Lake Forest,3,0.0022564,0.462589182,33.6469437,-117.6861023
665,Riverview,3,0.0022587,0.496064327,38.0236039,-78.45450799999999
666,Texarkana,3,0.0022673,0.452508647,33.425125,-94.04768820000001
667,Wenatchee,3,0.0022691,0.622127628,47.4234599,-120.3103494
668,Roswell,3,0.0022767,0.517631224,33.3942655,-104.5230242
669,Dothan,3,0.0022768,0.545120551,31.2232313,-85.3904888
670,Hanford,3,0.0022859,0.484152967,46.583889,-119.386667
671,Tamarac,3,0.0022975,0.51639954,26.2128609,-80.2497707
672,Joplin,3,0.0023054,0.664924166,37.08422710000001,-94.51328099999999
673,Evanston,3,0.0023393,0.623666835,42.0450722,-87.68769689999999
